38||Manětín|kostel sv. Barbory|Plzeňský|Plzeň-sever|Spiegel, Leopold|1680-1730|24||49.9918869|13.2432419||1721|1|10|mz?|mechanická traktura, zásuvková vzdušnice?||||Michek, Dalibor|44||2021||3|1|1|||||1||||||římskokatolický kostel|||Starobylý a jediný dobře zachovaný nástroj Leopolda Spiegela.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 130); Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2012/3, str. 1)||http://www.ceskevarhany.cz/lesson/kostel-sv-barbory-manetin/|542||Varhany obsahují i některé starší díly, včetně renesančních měchů z r. 1530. Stejně jako kostel se nástroj před restaurováním nacházel ve značně neutěšeném stavu.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Den_pro_Barboru%2C_varhany_I_%28retouched%29_%28cropped%29.jpg/349px-Den_pro_Barboru%2C_varhany_I_%28retouched%29_%28cropped%29.jpg|File:Den pro Barboru, varhany I.jpg: Juandev derivative work: Subbass1, CC BY-SA 3.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Church_of_St_Barbara_in_Man%C4%9Bt%C3%ADn_02.jpg/640px-Church_of_St_Barbara_in_Man%C4%9Bt%C3%ADn_02.jpg|Václav Štorek, CC BY-SA 4.0, via Wikimedia Commons
41||Mělník|kostel sv. Petra a Pavla|Středočeský|Mělník|Kánský-Brachtl||8||50.2813533|14.5935794||2014|2||||||9400000||||||6|1||||1||||||||římskokatolický kostel||Varhanní zastavení||Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (1/2015, str. 4)|||3380||||Cena varhan: http://www.farnostmelnik.cz/pozehnani-varhan-2014.html|||https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Melnik-Probsteikirche-Orgel-1.jpg/360px-Melnik-Probsteikirche-Orgel-1.jpg|Bartfloete, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/M%C4%9Bln%C3%ADk_kostel_sv._Petra_a_Pavla_zezadu.JPG/569px-M%C4%9Bln%C3%ADk_kostel_sv._Petra_a_Pavla_zezadu.JPG|VitVit, CC BY-SA 4.0, via Wikimedia Commons
61||Mikulov|Dietrichštejnská hrobka|Jihomoravský|Břeclav|Deutschmann, Jakob|1795-1853||15|48.8064517|16.6396719|Rakousko|1851|2|10|mechanická tr., vzdušnice s rejstříkovými kancelami (pedál), zásuvkové (manuál)|mechanická tr., vzdušnice s rejstříkovými kancelami (pedál), zásuvkové (manuál)|||1200 zl.||||||3|1||1||||1||||||pohřební kaple|||Technicky zajímavě řešené varhany s originálním rejstříkem Physharmonikou 8‘.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 136)||http://www.ceskevarhany.cz/portfolio/dietrichsteinska-hrobka-mikulov/|5666||Dvorní vídeňský varhanář Deutschmann použil ve varhanách několik zajímavých technických řešení. V prvé řadě jde o rejstřík Physharmonica 8‘, napodobující harmonium. Tento rejstřík je umístěn na samostatném manuálu s možností čerpání vzduchu přímo varhaníkem, který tak činí pomocí nožní šlapky umístěné na hracím stole. Z dalších technických zajímavostí jde o manuálovou spojku rozdělenou na bas a diskant nebo odlišné typy vzdušnic použité pro pedál a manuál.||Na varhany.net kostel zcela chybí.|1||https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Mikulov_Ditrich%C5%A1tejnsk%C3%A1_hrobka_%C4%8Delo_2.jpg/584px-Mikulov_Ditrich%C5%A1tejnsk%C3%A1_hrobka_%C4%8Delo_2.jpg|VitVit, CC BY-SA 4.0, via Wikimedia Commons||
101||Most|kostel Nanebevzetí Panny Marie|Ústecký|Most|Stark, Wenzel; Rieger-Kloss|1670-1757|26;14||50.5178639|13.6488122||1741;1991|2|64|mez|mechanická a elektrická traktura, zásuvkové vzdušnice|||||||||5|1|1||1|||1||1||||římskokatolický kostel|||Zachovalý, ale pozměněný nástroj Wenzela Starka.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 142)|||3695||Od 20. století byly varhany několikrát přestavěny, naposled firmou Rieger-Kloss v r. 1991. Varhany mají klasický mechanický hrací stůl, umístěný ve varhanní skříni, a moderní elektrický hrací stůl, který je pojízdný. Píšťalový fond původních barokních varhan zůstal i po přestavbách nástroje zachován. Cenná barokní varhanní skříň skvěle vyplňuje gotický interiér chrámu.|||1|||||
43||Napajedla|kostel sv. Bartoloměje|Zlínský||Smolka, Václav||23||49.1726481|17.5148806||2009|2|30|mz|mechanická traktura, zásuvková vzdušnice|||7000000||||||6|1||||1||||1||||římskokatolický kostel||||||http://varhany.krnov.net/17757/op-11-napajedla/|964||||Cena varhan: https://zlinsky.denik.cz/zpravy_region/v-napajedelich-maji-nove-varhany20090914.html||||||
113||Nečtiny|kostel sv. Jakuba|Plzeňský|Plzeň-sever|Rausch, Johann Leopold|1719-1791|59||49.9749464|13.1665919||1752|2|14|mz|mechanická traktura, zásuvková vzdušnice|||||||||5|1|1|||||1||||||římskokatolický kostel|||Dobře dochovaný nástroj Johanna Leopolda Rausche.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 146)|||2318||Nejstarší dochované Rauschovy varhany mohou sloužit jako vzor pro restaurování jeho dalších děl. Varhany nejsou v dobrém stavu.|||1|||||
114||Nová Říše|kostel sv. Petra a Pavla|Vysočina|Jihlava|Semrád, Bedřich|1704-1784|57||49.1389489|15.5650628||1765|2|23|mz|mechanická traktura, zásuvková vzdušnice||||Šlajch, Vladimír|28||1983||4|1|1|||||1||||||římskokatolický kostel|||Velký a dobře dochovaný Semrádův nástroj.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 148)|||945||Nástroj skvěle reprezentuje dílnu Bedřicha Semráda. Restaurování v 80. letech vrátilo varhany, zvukově zkomolené ve 40. letech, do původní podoby.|||1|||||
102||Nymburk|kostel sv. Jiljí|Středočeský|Nymburk|Tuček, Jan|1842-1913|31||50.1859703|15.0439528||1899|3|37|mk-p|mechanická traktura, kuželková vzdušnice, pneumatická rejstříková traktura|||||||||5|1||1|||||1|||||římskokatolický kostel|||Velký a zachovalý nástroj Jana Tučka.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 152)|||1158||Velké a zvukově zdařilé romantické varhany známého kutnohorského varhanáře. Pneumatická traktura se zde prosadila zatím jen u rejstříků, tónovou trakturu postavil Tuček klasicky mechanickou.|||1|||||
16||Olomouc|kostel Panny Marie Sněžné|Olomoucký|Olomouc|Halbig, Jan Bohumír|1683-1736|6||49.5956547|17.2564097||1730|2|28|mz|mechanická traktura, zásuvková vzdušnice||||Rieger-Kloss|14||1977||3|0,5|1|||||1|||||Bohatě zdobená vrcholně barokní skříň poskytuje v prosvětleném interiéru jedinečný výtvarný zážitek. Jedinečná je zejm. sochařská výzdoba skříně.|římskokatolický kostel||Mezinárodní varhanní festival Olomouc|Výtvarně a zvukově cenné varhany z dílny králického varhanáře Halbicha.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 156)|||1887||Dochovaný nástroj byl výrazně zvukově pozměněn na počátku 20. století. V 70. letech však firma Rieger-Kloss provedla dobově podmíněné, ale zdařilé restaurování do původní podoby. Došlo při něm i k rozšíření rozsahů manuálů a pedálu (chromatizování původní krátké oktávy, tj. doplnění chybějících spodních chromatických tónů ve velké oktávě). Díky tomu lze na varhany hrát i skladby, jež nejsou pro tento typ barokních varhan česko-moravské provenience přímo určené.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Kostel_Panny_Marie_Sn%C4%9B%C5%BEn%C3%A9%2C_Olomouc_%2805%29.jpg/574px-Kostel_Panny_Marie_Sn%C4%9B%C5%BEn%C3%A9%2C_Olomouc_%2805%29.jpg|Jana Sekyrová, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Kostel_Panny_Marie_Snezne.jpg/360px-Kostel_Panny_Marie_Snezne.jpg|Michal Maňas , CC BY 4.0, via Wikimedia Commons
18||Olomouc|bazilika Navštívení Panny Marie (Svatý Kopeček)|Olomoucký|Olomouc|Stavinoha, Jaroslav||70||49.6292428|17.3382444||1998|2|25|mz|mechanická traktura, zásuvková vzdušnice||Richter, Antonín (varhanář); Sturmer, Jan (sochařská výzdoba)|3800000||||||5|1||||1||||1|||Jedna z nejkrásnějších barokních skříní na Moravě s pedálovými skříněmi pozoruhodně umístěnými na přechodu mezi lodí kostela a kruchtou.|římskokatolický kostel|||Cenná je především skříň. Původní barokní nástroj se nedochoval.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 162)||http://svatykopecek.cz/FixPage.asp?ID=112#mid; https://bibliotekanauki.pl/articles/570391.pdf|1886||Původní dvoumanuálové barokní varhany z r. 1724 začal stavět brněnský varhanář Jan David Sieber a po jeho smrti je dokončil jeho žák Antonín Richter. Autorství je však dodnes předmětem diskuzí. Vlivem několika přestaveb se původní nástroj nezachoval. V současnosti je v historické skříni umístěna novostavba varhan neobarokního typu.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Kostel_Nav%C5%A1t%C3%ADven%C3%AD_P._Marie_na_Sv_._Kope%C4%8Dku_u_Olomouce_-_varhany.JPG/640px-Kostel_Nav%C5%A1t%C3%ADven%C3%AD_P._Marie_na_Sv_._Kope%C4%8Dku_u_Olomouce_-_varhany.JPG|Capkova Pavlina, CC BY-SA 3.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Olm%C3%BCtz-HeiligerBerg01.jpg/640px-Olm%C3%BCtz-HeiligerBerg01.jpg|SchiDD, CC BY-SA 4.0, via Wikimedia Commons
19||Olomouc|bazilika Navštívení Panny Marie, boční kůr (Svatý Kopeček)|Olomoucký||Sieber, Jan David|1670-1723|22||49.6292428|17.3382444||1723?|1|||||||Kubát, Jan; Žloutek, Bohumil|||1988||5|1|1|||||||||||římskokatolický kostel|||||||5225||||Není to pozitiv, ale varhany s pedálem.||||||
20|1|Olomouc|kostel sv. Mořice|Olomoucký|Olomouc|Engler, Michael; Rieger-Kloss|1688-1760|||49.5951461|17.2512853|Polsko (tehdy Slezsko, součást českých zemí)|1745;1971|5|94|mez|mechanická a elektrická traktura, zásuvkové vzdušnice|||19000 zl.|Škrabl||25|2022|3 miliony Kč (1971), 38 milionů Kč (2022)|1|1|1|||||1||1||1||římskokatolický kostel||Mezinárodní varhanní festival Olomouc|Nástroj patří mezi největší a nejvýznamnější u nás postavené barokní varhany. Po opravě a rozšíření v 60. letech 20. století jsou varhany považovány za největší co do počtu píšťal v ČR. Varhany hostí renomovaný varhanní festival s dlouholetou tradicí.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 158)||https://varhany.moric-olomouc.cz/; https://www.klasikaplus.cz/serial/item/6852-varhany-a-varhanici-34-br-rekonstrukce-svatomorickych-varhan-v-dalsi-fazi; https://www.klasikaplus.cz/serial/item/4162-varhany-a-varhanici-21-br-varhany-v-kostele-sv-morice-v-olomouci|3607||Varhany patří k nejvýznamnějším dílům proslulého vratislavského varhanáře Michaela Englera. Ve své původní podobě měly 3 manuály a 44 rejstříků. V manuálech Engler disponoval i jazykové rejstříky (Trompet 8‘, Vox humana 8‘) a hluboký Principal 16‘, což pro naše tehdejší varhanářství nebylo typické a můžeme tím doložit Englerovo zakotvení ve slezských varhanářských tradicích. Ke generální opravě a zásadnímu rozšíření varhan došlo v 60. letech minulého století z iniciativy Antonína Schindlera. Od této doby varhany hostí významný varhanní festival. Původní mechanická traktura a skvostný hrací stůl, umístěný ve skříni varhan, zůstaly zachovány. Varhany je však možné ovládat i z novodobého elektrického hracího stolu. Vhodnost dobově podmíněných zásahů, ke kterým došlo v rámci rozšíření varhan na pětimanuálový univerzální nástroj, je předmětem sporů. V současné době probíhá restaurování varhan, při kterém bude zachována současná rejstříková dispozice.||Cena opravy: https://www.idnes.cz/olomouc/zpravy/engler-varhany-rekonstrukce-skrabl-slovinsko-renovace-moric.A220201_082117_olomouc-zpravy_dmk|1|||||
21||Olomouc|kostel sv. Mořice|Olomoucký|Olomouc|Schack, Antonín Jiří|†1719|72||49.5951461|17.2572853||1716|1|6|mz|mechanická traktura, zásuvková vzdušnice|1||160 zl.||||||5|1|1|||||||||||římskokatolický kostel||||Sehnal, Jiří. Barokní varhanářství na Moravě. Vydání první. Brno: Muzejní a vlastivědná společnost v Brně, 2003-2018. 3 svazky. Prameny k dějinám a kultuře Moravy; č. 9, 10. Monografie. ISBN 80-7275-042-9. (2. díl, str. 153)|||3619||Pozitiv, stojící v lodi kostela, patří mezi nejstarší dochované varhany na Moravě. Během některých varhanních koncertů se využívá střídavě s velkými varhanami na kůru.|||1|||||
22||Olomouc|kaple sv. Štěpána (Klášterní Hradisko)|Olomoucký||Richter, Antonín nebo Sieber, František Ignác||||49.6060481|17.2660756||1740?|1||mz|mechanická traktura, zásuvková vzdušnice|||||||||5|1|1|||||||||||římskokatolický kostel||||Sehnal, Jiří. Barokní varhanářství na Moravě. Vydání první. Brno: Muzejní a vlastivědná společnost v Brně, 2003-2018. 3 svazky. Prameny k dějinám a kultuře Moravy; č. 9, 10. Monografie. ISBN 80-7275-042-9. (2. díl, str. 172); SOBOTKA, Petr. Jan David Sieber - osobnost českého barokního varhanáře [online]. Olomouc, 2012 [cit. 2022-04-29]. Dostupné z: https://theses.cz/id/nq8oe6/. Diplomová práce. Univerzita Palackého v Olomouci, Pedagogická fakulta. Vedoucí práce Doc. MgA. Petr Planý. (str. 73)|||841||Stavitelem nástroje může být Antonín Richter nebo František Ignác Sieber.||||||||
77||Olomouc|katedrála sv. Václava|Olomoucký|Olomouc|Rieger||13||49.5977197|17.2626861||1886|3|50|m-Bkk|mechanická traktura s Barkerovou pákou, kuželková vzdušnice||||Rieger-Kloss|14||1981||1|1||1|||||1|||||římskokatolický kostel||Mezinárodní varhanní festival Olomouc|Výstavní a zcela zachované varhany raného období firmy Rieger, používající v našich oblastech spíše ojedinělý mechanismus Barkerovy páky.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 154)|||261||V návaznosti na novogotickou přestavbu katedrály byly pořízeny velké varhany Rieger, první třímanuálový nástroj postavený touto firmou. Traktura nástroje je mechanická, k lehčímu stisku kláves a snadné hře nicméně napomáhá mechanismus tzv. Barkerovy páky, kdy je pohyb mechanické traktury po stisku klávesy proveden ne silou hráče, nýbrž tlakem vzduchu. Varhany obsahují mj. bohatství jemně odstíněných romantických rejstříků v nízkých polohách.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Olomouc_%28076%29.jpg/360px-Olomouc_%28076%29.jpg|Dezidor, CC BY 3.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Olomouc_Katedrala_Sv._Vaclava.jpg/357px-Olomouc_Katedrala_Sv._Vaclava.jpg|Kirk, shifted & cropped by Rabanus Flavus, CC BY-SA 3.0, via Wikimedia Commons
85||Olomouc|Husův sbor|Olomoucký||Rieger-Kloss||14||49.5978247|17.2470736||1948|3||p|pneumatická traktura|||||||||10|1|||1|||||||||husitský kostel|||||||5710||||||||||
94||Olomouc|kostel sv. Michala|Olomoucký||Rieger-Kloss||14||49.5938192|17.2542881||1975|3|50|e|elektrická traktura|||||||||9|1|||1|||||||||římskokatolický kostel|||||||3609||||||||||
44||Opava|kostel sv. Ducha|Moravskoslezský|Opava|Smolka, Václav||23||49.9362675|17.9046306||2002|3|34|mz|mechanická traktura, zásuvková vzdušnice|||||||||5|1||||1||||1||||římskokatolický kostel||||||http://varhany.krnov.net/17751/op-5-opava/; https://artthon.cz/varhany/|527||Zvuk nástroje byl inspirován barokem s jeho jihoněmeckými, italskými a francouzskými vlivy. Na nástroji pravidelně probíhá Mezinárodní varhanní soutěže Petra Ebena.|||1|||||
92||Opava|kostel sv. Vojtěcha|Moravskoslezský|Opava|Rieger-Kloss||14||49.9392308|17.9061444||1949|3|54|epk|elektrická traktura, kuželková vzdušnice||Horčička, František? (varhanář)|||||||9|1|||1|||||1||||římskokatolický kostel||||Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 164)|||1884||Varhanní skříň pochází z barokních varhan místního varhanáře Františka Horčičky. Dobovou zajímavostí je samostatný jednomanuálový pneumatický hrací stůl, sloužící pro nouzové použití v případě výpadku elektrické energie.|||1||https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Opava%2C_kostel_sv.Vojt%C4%9Bcha%2C_varhany..jpg/640px-Opava%2C_kostel_sv.Vojt%C4%9Bcha%2C_varhany..jpg|Mols1950, CC BY-SA 3.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Opava_%28Troppau%29_-_kostel_svat%C3%A9ho_Vojt%C4%9Bcha.jpg/590px-Opava_%28Troppau%29_-_kostel_svat%C3%A9ho_Vojt%C4%9Bcha.jpg|Pudelek (Marcin Szala), CC BY-SA 4.0, via Wikimedia Commons
93||Opava|Knihovna Petra Bezruče|Moravskoslezský||Rieger-Kloss||14||49.9352631|17.9057592||1978|3|43|e|elektrická traktura|||||||||9|1|||1|||||||||římskokatolický kostel|||||||5695|||||||https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Spole%C4%8Densk%C3%BD_d%C5%AFm_-_M%C4%9Bstsk%C3%BD_d%C5%AFm_kultury_Petra_Bezru%C4%8De_%28Opava%29.JPG/640px-Spole%C4%8Densk%C3%BD_d%C5%AFm_-_M%C4%9Bstsk%C3%BD_d%C5%AFm_kultury_Petra_Bezru%C4%8De_%28Opava%29.JPG|Lehotsky, CC BY-SA 3.0, via Wikimedia Commons||
96|1|Opava|konkatedrála Nanebevzetí Panny Marie|Moravskoslezský|Opava|Rieger-Kloss||14||49.9387481|17.9006833||1957;1991|3|56|p/e|elektropneumatická traktura|||||||||9|1|||1|1||||1||||římskokatolický kostel||||||https://www.ebencompetition.cz/soutezni-varhany/varhany-v-konkatedrale-Nanebevzeti-Panny-Marie-v-Opave|264||Velký chrámový nástroj byl několikrát přebudován. Pravidelně se zde koná Mezinárodní varhanní soutěž Petra Ebena.|||1|||||
95||Ostrava|Janáčkova filharmonie|Moravskoslezský|Ostrava-město|Rieger-Kloss||14||49.8311158|18.2727833||1980;2000|4|68|e|elektrická traktura|||||||||8|1|||1|||||1||1||koncertní síň|1||||||?||Varhany původně stály v Praze v Paláci kultury (nynější Kongresové centrum), ale neosvědčily se zde z akustických důvodů. V rámci přenosu do Ostravy v r. 2000 byly dispozičně upraveny.||Není na varhany.net; info dle Bernata|1|||||
98||Ostrava|Janáčkova konzervatoř|Moravskoslezský|Ostrava-město|Rieger-Kloss||14||49.8382150|18.2829992||1997|3|41|mz|mechanická traktura, zásuvková vzdušnice||||Ponča, Robert|67||2010||8|1||||1||||1||||koncertní síň|1||||||5696||Varhany ilustrují tvorbu firmy Rieger-Kloss po r. 1989. Nástroj lze ovládat tradičním mechanickým nebo posuvným elektrickým hracím stolem. V r. 2010 provedla firma Ponča kvůli nevyhovující zvukovosti nástroje přeintonování.||Není na varhany.net|1||https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Janackova_konzervator_Ostrava_20081231.jpg/640px-Janackova_konzervator_Ostrava_20081231.jpg|Petr Štefek, CC BY-SA 3.0 CZ, via Wikimedia Commons||
115||Ostrava|kostel sv. Václava|Moravskoslezský|Ostrava|Horčička, František ml.|1745-1800|41||49.8358294|18.2949514||1798?|1|12|mz|mechanická traktura, zásuvková vzdušnice||||Kánský-Brachtl|8||2011||5|1|1|||||1||||||římskokatolický kostel||||Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 170)||http://kansky-brachtl.cz/www/restaurovani/dispozice/ostrava|1978||Varhany byly původně postaveny pro kostel ve Vésce u Oder. V rámci města Ostravy a Moravskoslezského kraje jde o jedinečně zachovalý barokní nástroj.|||1|||||
97||Pardubice|Sukova síň|Pardubický|Pardubice|Rieger-Kloss||14||50.0383264|15.7753506||2004|3|45|mz|mechanická traktura, zásuvková vzdušnice|||14000000||||||8|1||||1||||1||||koncertní síň|1||||||?||Varhany ilustrují tvorbu firmy Rieger-Kloss po r. 1989. Nástroj lze ovládat tradičním mechanickým nebo posuvným elektrickým hracím stolem.||Cena varhan: https://pardubice.rozhlas.cz/pardubice-maji-jedny-z-nejlepsich-varhan-v-republice-7655869; Není na varhany.net|1||https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Kokos_pardubice.jpg/637px-Kokos_pardubice.jpg|Michal Louč, CC BY 3.0, via Wikimedia Commons||
35||Plasy|klášterní kostel Nanebevzetí Panny Marie|Plzeňský|Plzeň-sever|Stark, Abrahám|1659-1709|26||49.9354725|13.3903617||1688|2|28|?|?||||Šlajch, Vladimír|28||2006|10000000|2|1|1|||||1||||||římskokatolický kostel|||Velké, starobylé a skvěle vystavěné varhany Abraháma Starka, proslulé již v době svého vzniku.|Krátký, Jiří a Svoboda, Štěpán. Nejvýznamnější varhany v České republice. 1. vydání. V Brně: CPress, 2019. 267 stran. ISBN 978-80-264-2859-6. (str. 176)||https://www.vladimirslajch.cz/varhany/zobraz_projekty.php?id=Plasy |547||Tristní stav varhan zvrátila až rekonstrukce provedená na počátku 21. století.||cena restaurování: https://cesky.radio.cz/v-plasich-zazni-vzacne-zrestaurovane-varhany-8616258|1||https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Plasy_Orgel_Starck.jpg/360px-Plasy_Orgel_Starck.jpg|Regerman, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Kl%C3%A1%C5%A1ter_Plasy_-_okres_Plze%C5%88-sever_%2828%29.jpg/640px-Kl%C3%A1%C5%A1ter_Plasy_-_okres_Plze%C5%88-sever_%2828%29.jpg|Richenza, CC BY-SA 3.0, via Wikimedia Commons
48||Plzeň|Velká synagoga|Plzeňský|Plzeň-město|Braunerové||1||49.7466194|13.3729889||1890?|3|34|p?|pneumatická traktura|||||||||6|1||1|||||1|||||synagoga|||Největší a jedny z mála zachovaných varhan bratří Braunerů.|KOCŮRKOVÁ, Jitka. Varhanářská firma bratří Braunerů v Uničově [online]. Olomouc, 2009 [cit. 2022-04-28]. Dostupné z: https://theses.cz/id/yangu8/. Diplomová práce. Univerzita Palackého v Olomouci, Filozofická fakulta. (str. 88)|||3680||Velké romantické varhany dlouhodobě vyžadují opravu. Ztvárnění varhanní skříně má připomínat knihy Tóry.|||1|||||
54||Plzeň|katedrála sv. Bartoloměje|Plzeňský|Plzeň-město|Petr, Emanuel Štěpán|1853-1930|12||49.7474472|13.3776119||1894|3|46|mk|mechanická traktura, kuželková vzdušnice||||Kánský-Brachtl|8||2021||5|1||1|||||1|||||římskokatolický kostel||Plzeňský varhanní festival||Varhaník: časopis pro varhanickou praxi. Kostelní Vydří: Karmelitské nakladatelství, [1999]- . ISSN 1212-5334. (2/2015, str. 4)|||439|||||1||https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/The_Choir.jpg/640px-The_Choir.jpg|Barbora Červeňová, CC BY-SA 4.0, via Wikimedia Commons|https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Plze%C5%88_Cathedral_of_Saint_Bartholomew-0146_crop.jpg/360px-Plze%C5%88_Cathedral_of_Saint_Bartholomew-0146_crop.jpg|Isiwal/Wikimedia Commons/CC BY-SA 4.0, CC BY-SA 4.0, via Wikimedia Commons
30||Polná|kostel Nanebevzetí Panny Marie, literátský kůr|Vysočina|Jihlava|Effnert, Johannes|?||16|49.4876303|15.7243628||1656|1||mz|mechanická traktura, zásuvková vzdušnice|1|||Valenta, Rudolf|69||2004||5|1|1|||||1|||1|||římskokatolický kostel||||Sehnal, Jiří. Barokní varhanářství na Moravě. Vydání první. Brno: Muzejní a vlastivědná společnost v Brně, 2003-2018. 3 svazky. Prameny k dějinám a kultuře Moravy; č. 9, 10. Monografie. ISBN 80-7275-042-9. (2. díl, str. 150)|||2404||Při restaurování pozitivu byl odstraněn pedál přistavěný v r. 1799.|||1|||||
31|1|Polná|kostel Nanebevzetí Panny Marie|Vysočina|Jihlava|Sieber, Jan David|1670-1723|22||49.4876303|15.7183628||1708|2|31|mz|mechanická traktura, zásuvková vzdušnice|||1950 zl.|Mettler, Boris; Michek, Dalibor; Vorlíček, Marek|||2017|10000000|1|1|1|||||1||||1||římskokatolický kostel|||Velké a jedinečně zachovalé Sieberovy varhany.|Sehnal, Jiří. Barokní varhanářství na Moravě. Vydání první. Brno: Muzejní a vlastivědná společnost v Brně, 2003-2018. 3 svazky. Prameny k dějinám a kultuře Moravy; č. 9, 10. Monografie. ISBN 80-7275-042-9. (2. díl, str. 210); SOBOTKA, Petr. Jan David Sieber - osobnost českého barokního varhanáře [online]. Olomouc, 2012 [cit. 2022-05-01]. Dostupné z: https://theses.cz/id/nq8oe6/. Diplomová práce. Univerzita Palackého v Olomouci, Pedagogická fakulta. Vedoucí práce Doc. MgA. Petr Planý. (str. 48)|||1881||Největší dochované Sieberovy varhany u nás. Po dlouhou dobu čekaly v sešlém stavu na své restaurování, které bylo dokončeno v r. 2017 spoluprací tří renomovaných restaurátorských firem (Dlabal-Mettler, Dalibor Michek, Marek Vorlíček).||Info o restaurování: https://www.propamatky.info/cs/zpravodajstvi/kraj-vysocina/tipy-a-inspirace/oprava-vzacnych-chramovych-varhan-v-polne-bude-na-jare-dokoncena/3626/; https://www.mesto-polna.cz/sieberovy-varhany/d-328778|1|||||
1||Praha|Klementinum, zrcadlová kaple Zvěstování Panny Marie|Hlavní město Praha|Hlavní město Praha|Schwarz, Tomáš|1695-1754|21||50.0866050|14.4156719||1731|1|10|mz|mechanická traktura, zásuvková vzdušnice|||||||||4|1|1|||||1|||||Zcela ojedinělé použití mramorové kameniny pro výstavbu varhanní skříně.|jezuitská kolej||||Tomší, Lubomír et al. Historické varhany v Čechách. 1. vyd. Praha: Libri, 2000. 263 s. ISBN 80-7277-009-8. (str. 133); Tomíček, Jan. Varhany a jejich osudy. [Praha]: PM vydavatelství, 2010. 310 s. ISBN 978-80-900808-2-9. (str. 95)|||725|||||1|||||
